Student ID,Name,Branch,Semester,Courses taken,CGPA,Preferences,Courses_taken_ids
1,Student_1,CSE,2,6,6.02,Cybersecurity,11B1NCI731;13B1NCI831;10B13PD832;14B1NCI832;10B1NCI835;10B28CI581
2,Student_2,ECE,7,5,5.72,Robotics,13B1NCI834;12B2NCI752;13B11NHS731;14B1NCI831;14B1NCI731
3,Student_3,CSE,5,6,9.55,Data Science,10B13PD831;10B17CI673;10B17CI571;10B13PD832;10B1NCI731;10B11CI513
4,Student_4,CSE,4,7,8.6,Cybersecurity,10B11PD511;12B2NCI752;10B17CI671;14B1NCI731;10B11CI513;10B1NCI831;10B19CI591
5,Student_5,CSE,6,3,9.3,IoT,10B17CI572;10B11EC514;10B13PD831
6,Student_6,ECE,8,1,5.53,AI,10B1NCI736
7,Student_7,CSE,5,5,7.09,ML,14B1NCI832;13B1NCI834;12B1NHS831;10B19GE698;14B1NCI835
8,Student_8,CSE,5,4,5.45,Data Science,10B13PD831;10B17EC574;13B11NHS731;10B17CI572
9,Student_9,CSE,4,5,6.17,IoT,13B11NHS731;10B11PD511;10B19CI891;10B11EC514;10B11PD611
10,Student_10,ECE,3,6,5.9,Robotics,10B1NPD732;10B1NCI835;10B13CI834;10B1NCI831;10B1NCI837;12B1NHS831
11,Student_11,CSE,6,5,8.49,Robotics,10B1NCI736;10B1NCI731;10B11PD511;10B17CI673;12B1NHS831
12,Student_12,CSE,3,9,6.52,Robotics,10B19CI591;14B1NCI831;10B17CI672;10B11PD611;13B1NCI831;10B11CI613;10B1NPD734;10B1NPD732;10B19CI691
13,Student_13,CSE,5,7,8.28,Data Science,10B11PD511;13B1NCI831;10B11CI612;10B11CI613;13B1NCI834;10B11EC514;14B1NCI831
14,Student_14,CSE,4,7,7.72,Cybersecurity,10B1NCI731;10B11PD511;11B1NCI731;10B19CI791;12B1NHS831;12B2NCI752;13B11NHS731
15,Student_15,ECE,5,7,9.76,Data Science,12B2NCI752;10B13PD832;10B19CI791;10B11CI612;13B11NHS731;14B1NCI833;10B1NCI731
16,Student_16,CSE,5,4,5.22,Robotics,13B1NCI834;10B19CI891;10B11CI613;10B1NCI731
17,Student_17,ECE,7,8,8.51,IoT,13B1NCI834;13B1NCI832;10B11CI613;12B2NCI752;10B17CI571;14B1NCI832;14B1NCI731;10B17CI673
18,Student_18,ECE,3,6,8.38,ML,10B1NPD734;10B1NCI831;12B1NHS831;14B1NCI832;10B17CI671;10B1NCI835
19,Student_19,ECE,4,7,5.83,ML,10B1NCI837;10B11PH611;11B1NCI731;10B1NPD734;10B11CI512;10B17CI671;10B2NCI853
20,Student_20,CSE,3,4,8.21,Data Science,10B19GE698;14B1NCI835;10B13CI834;10B1NPD735
21,Student_21,ECE,4,3,7.4,Robotics,14B1NCI833;10B17CI671;10B17CI673
22,Student_22,CSE,5,8,6.73,AI,10B11CI611;12B1NHS831;10B13CI834;10B13PD832;11B1NCI831;10B11CI512;10B19CI591;14B1NCI833
23,Student_23,ECE,6,7,6.01,Data Science,14B1NCI832;10B17CI572;10B11EC514;10B1NCI837;10B1NCI736;10B17CI672;10B11CI511
24,Student_24,ECE,3,4,6.14,Robotics,10B11EC514;10B11PD511;13B11NHS731;10B17CI571
25,Student_25,ECE,6,4,9.46,Cybersecurity,14B1NCI835;13B1NCI834;10B17CI572;10B1NCI736
26,Student_26,ECE,7,8,7,ML,11B1NCI731;10B17EC574;13B1NCI834;13B1NHS831;10B11CI611;12B1NHS831;10B1NPD732;14B1NCI831
27,Student_27,ECE,5,4,7.94,ML,11B1NCI731;10B17CI672;14B1NCI834;10B11PD511
28,Student_28,ECE,8,9,6.05,ML,14B1NCI833;10B1NCI831;10B17CI672;10B19CI791;13B1NCI834;13B11NHS731;10B11PD511;13B1NCI831;10B1NPD734
29,Student_29,ECE,3,4,6.06,AI,14B1NCI835;10B11PD511;13B1NCI831;10B17CI673
30,Student_30,ECE,2,7,8.3,Robotics,12B1NHS831;10B1NPD735;10B1NCI837;10B17CI673;10B13PD831;10B17CI671;10B17EC574
31,Student_31,CSE,1,5,5.38,Robotics,10B28CI581;10B17CI673;10B11CI511;10B19CI591;10B1NCI835
32,Student_32,CSE,7,7,6.5,Robotics,10B19GE698;10B11PH611;10B11PD511;10B11CI613;10B11CI612;10B17CI571;10B28CI581
33,Student_33,ECE,6,5,7.04,Robotics,10B19CI791;13B1NCI831;10B1NCI837;12B1NHS831;14B1NCI731
